<BEGIN>
AVERAGE RESPONSE, PROCESSING TIME PER CONFIGURATION, SCHEDULE STRATEGY, QUEST:
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 214.40000009536743, 212.74)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 6.090000152587891, 4.43)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 5.329999923706055, 4.28)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.059999942779541, 2.02)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 5.680000066757202, 1.67)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 3.9800000190734863, 2.32)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 5.670000076293945, 1.18)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 3.450000047683716, 1.8)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 1.9200000762939453, 0.87)
(u'10.2.2.1', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.6000001430511475, 0.55)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 4.230000019073486, 2.6)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 3.2100000381469727, 1.56)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 210.65000009536743, 209.0)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 6.180000066757202, 1.92)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.870000123977661, 3.8)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.320000171661377, 2.29)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 4.25, 2.61)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 3.820000171661377, 2.17)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 5.020000219345093, 0.77)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 1.9000000953674316, 0.85)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 3.2300000190734863, 1.57)
(u'10.2.2.1', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.6000001430511475, 0.54)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 5.599999904632568, 2.03)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 4.579999923706055, 1.03)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 289.6399998664856, 287.83)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 6.099999904632568, 4.29)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 5.289999961853027, 4.27)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 2.359999895095825, 1.31)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 5.599999904632568, 1.99)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 3.5199999809265137, 1.73)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 3.5299999713897705, 1.48)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 3.179999828338623, 1.36)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 1.7799999713897705, 0.72)
(u'10.2.2.2', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.8199999332427979, 0.77)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 4.960000038146973, 1.85)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 3.059999942779541, 1.31)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 220.70000004768372, 217.61)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 5.9700000286102295, 2.87)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.769999980926514, 3.74)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 2.869999885559082, 1.81)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 3.700000047683716, 1.94)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 4.759999990463257, 1.65)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 3.1700000762939453, 1.41)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 1.8899998664855957, 0.83)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 3.069999933242798, 1.2)
(u'10.2.2.2', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.7100000381469727, 0.66)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 6.039999961853027, 2.01)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 2.9700000286102295, 0.98)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 222.9800000190735, 220.23)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 222.9800000190735, 3.28)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 5.5, 3.51)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 2.4000000953674316, 1.34)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 2.740000009536743, 1.7)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 222.99000000953674, 1.44)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 2.309999942779541, 1.26)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 1.9100000858306885, 0.85)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 2.9800000190734863, 0.98)
(u'10.2.2.2', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.9600000381469727, 0.9)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 5.860000133514404, 1.16)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 5.440000057220459, 0.74)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 201.3400001525879, 199.61)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 201.3400001525879, 4.3)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.680000066757202, 3.62)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 2.870000123977661, 1.83)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 201.35000014305115, 2.41)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 3.870000123977661, 2.14)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 2.1700000762939453, 1.11)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 3.5500001907348633, 1.83)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 5.520000219345093, 0.81)
(u'10.2.2.2', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.6800000667572021, 0.62)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 4.0899999141693115, 2.58)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 5.0299999713897705, 0.89)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 199.66999983787537, 195.53)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 5.639999866485596, 4.12)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.949999809265137, 3.89)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.5899999141693115, 2.53)
