EXPERIMENT;APPID;ARGUMENTS;DATA_FILES;RESPONSE_TIME;TRANSFER_TIME;EXECUTION_TIME;CLIENTS;SERVERS
16-270415-2;WEKA_3_6_12;weka.classifiers.trees.J48 -t;weather.numeric.arff ;1.59694247061;0.01552610824;0.564591369629;1;16
16-270415-2;SHA256_TEST;60000 -verbose 20000;experimentData.dat ;1.5067619151;0.0159515671391;0.46035373562;1;16
8-250415-3;WEKA_3_6_12;weka.classifiers.trees.J48 -t;weather.numeric.arff ;1.56144031126;0.0145031169991;0.528888645172;1;8
8-250415-3;WEKA_3_6_12;weka.classifiers.trees.J48 -t;weather.nominal.arff ;1.55676493621;0.0102263067106;0.530545940399;1;8
16-270415-2;WEKA_3_6_12;weka.classifiers.trees.J48 -t;weather.nominal.arff ;1.60989088069;0.0116955454869;0.566883850098;1;16
8-250415-3;SHA256_TEST;60000 -verbose 20000;experimentData.dat ;1.49004105542;0.0104839264489;0.460717720992;1;8
